设计人	编号	武将姓名	武将称号	体力值	一技能	二技能	三技能	四技能	五技能	六技能	七技能	八技能	九技能	十技能	设计思路	F&Q
万千纸鹤	52 	曹洪	魏之白鹄	4	历征：转换技，阴：准备阶段，你可以弃置所有红色手牌，若如此，本回合你无法使用红色牌，且使用黑色牌无法被响应；阳:结束阶段，你可以重铸所有黑色牌，若如此，你的回合外不能使用或打出黑色牌，且响应其他角色使用的牌时，摸两张牌。	吝财：锁定技，出牌阶段开始时，你令一名角色的手牌上限+1，若为你，你将手牌补至手牌上限；若此时你的手牌数不为全场最少，你令一名其他角色获得你的一张牌。当你的牌即将被其他角色获得时，你须选择是否拒绝其获得你的牌，若为是，其对你造成的伤害+x（x为你拒绝其的次数，其获得过你的牌，或对你造成过伤害后，重置x）。									"一技能历征，曹洪转战四方，历经数十场战役，其中官渡守营，下辩袭击最为典型，体现了曹洪攻防两端的执行力，弃红留黑，意为执行袭击，弃黑留红，即为坚守大营。
二技能吝财，曹洪善敛财，却吝啬无比。曹丕曾经向曹洪借钱遭到拒绝，称帝后以次治罪曹洪。"	
楚谋	53 	曹洪	魏之福将	4	急援：出牌阶段开始时，你可以令体力值不大于你的一名其他角色回复1点体力并交给其至多X张牌（X为你已损失的体力值），然后你选择一项：1.回复1点体力并摸等量张牌；2.加1点体力上限。然后若你的体力上限为全场最高，你将体力回复至上限，获得“悭罪”并失去本技能。	悭罪：转换技，锁定技，阳：摸牌阶段，若你已受伤，你改为获得每名其他角色区域内的一张牌，你已此法获得的牌不计入手牌上限；阴：你的回合外，当你失去牌后，你失去1点体力上限。										
楚谋	54 	应玚	文思悲赋	3	悲节：锁定技，当你翻面或体力值变化时，若你的体力值为全场：最少，你摸一张牌；唯一最多，你失去1点体力。	忧赋：出牌阶段限一次，你可以令至多X+1名角色选择一项（X为你已损失的体力值）：1.翻面并摸两张牌；2.失去1点体力并摸X张牌；3.回复1点体力并视为受到了1点无来源伤害。结算结束后，你失去被选择次数唯一最多的选项。									"悲节：设计理念来源于其人生经历，血少摸牌对应着前半生虽然乱世飘零，但他用自己的经历和对战乱时人民的灾难为灵感写出了《待五官中郎将建章台集诗》一首以此青史留名；血高掉血则对应着他一生踌躇满志而壮志难酬，才华足以著书却遭疾病撒手人寰。

忧赋：设计理念来源于其初来邺都时，曹植、曹丕都很敬重他，经常邀他和众人一起宴游吟诗，对应着技能的每个选项都可以和曹丕曹植兄弟配合；但在这战乱时期的琴歌酒赋之后，剩下的便是没有愿意提及的黑暗（都不愿意选的剩余选项）。"	
OKITA	55 	应玚	文韵辞宗	3	辞采:每当你使用或打出一张黑桃牌时，你可以摸一张牌。若此牌为基本牌，你可令一名角色摸一张牌；若为锦囊牌，你可选择一名角色，该角色需弃置一张牌。	遗篇:当你受到伤害时，你可以展示牌堆顶的两张牌，若为相同颜色的牌，则你防止此伤害，并将这两张牌交给任意两名角色；若颜色不同，则你获得其中一张牌，然后将另一张牌置入弃牌堆。									"辞采设计思路:这个技能旨在体现应玚作为文学家的才华
遗篇设计思路:这个技能灵感来源于应玚的遗作和影响。当应玚受到伤害时，可以通过展示牌堆顶的两张牌来模拟其遗篇的传世影响。如果牌的颜色相同，代表其诗文的一致性和和谐，因此可以防止伤害，并将这两张牌传承给其他角色；如果颜色不同，则可以选择其中一张牌留给自己，代表其选择性地保留和传承自己的文化遗产。"	
戏崖琅	56 	应玚	文中慨调	3	悲调：你的出牌阶段外，仅有一张牌因弃置进入弃牌堆时，你可以记录其类型、花色。当你使用记录过类型的牌时，可以摸一张牌；当你成为记录过花色的牌的目标时，可以重铸一张牌。然后移除对应的记录内容。	慨民：一名角色受到伤害后，若其体力值不大于1，你可以令其重铸一张牌并摸一张牌。	侍籍：锁定技，出牌阶段结束时，你清除“悲调”的记录内容并令一名角色复原武将牌。								"应玚诗篇多悲慨之调，同情民之遭难，故有济民（二技能慨民）成文（一技能悲调）之意。二者联动。
又其人同时受曹丕曹植推崇礼待，其时为曹操手下文籍人员。"	"Q悲调记录与自己的重铸？
A先重铸后移除，也就是说如果重铸弃置的也是恰才被指定为目标的牌花色，此花色仍然移除。
Q慨民在濒死状态能发动吗？
A与大部分类似结算一样，脱离濒死状态后发动"
沙琪玛	57 	王平	卧虎北境	4/5	镇坚：出牌阶段结束后，你可以弃置一张手牌令场上至多两名角色获得一个“坚”标记，当拥有“坚”标记的角色在回合外失去手牌或受到伤害时，你可以移去该角色的“坚”然后其摸x张牌（x为其体力上限且至多为5）每名角色至多获得一次“坚”标记，当有一名角色移动场上的牌时，你可以令一名角色额外获得一次“坚”标记	飞军：出牌阶段开始时，若你的“飞军”牌数小于你的体力值，则你可以将至多两张手牌置于武将牌之上，视为“飞军”牌	兵略：你的回合内，当你使用一张杀或普通锦囊牌指定目标时，你可以弃置一张“飞军”牌然后摸一张牌并令此牌不能被响应，若如此做，你可以失去一点体力上限然后移动场上的一张牌								前期通过镇坚获得牌提升防御或为队友提供牌和防御，多余的牌可以用来积攒“飞军”以发动兵略来过牌且提升攻击能力，后期极端情况通过发动兵略扣减体力上限移动牌来让缺少防御或者手牌的角色获得额外的“坚”	
OKITA	58 	王平	无当飞军	4	飞势:每当你使用【杀】指定一名角色为目标时，若该角色与你的距离大于1，你可以摸一张牌。若如此做，此【杀】伤害+1。若该角色与你距离等于1，则你可以令此【杀】不可被【闪】响应。										"飞势设计思路:反映王平在战斗中对距离的精准把控和地形利用的能力。当王平使用【杀】攻击距离大于1的角色时，他能够摸一张牌，这代表着他利用地形优势，在攻击的同时还能获取额外的资源。同时，这样的攻击还会造成额外的伤害，显示了王平利用地形发起的远程攻击更具威力。
而当王平使用【杀】攻击距离等于1的角色时，他可以选择让这次攻击不可被【闪】响应。这反映了在近距离作战中，王平能够利用地形优势，发起迅猛且难以躲避的攻击"	
加勒	59 	王平	无当飞军	4	制兵:锁定技，转换技，你的每个阶段开始时，①:重铸一张牌；②:重铸场上的一张牌；③:视为使用上一张置入弃牌堆的牌；④:令一名其他角色获得“弓骑”直到其回合结束。	弓骑:出牌阶段限一次，你可以弃置一张牌，然后你本回合的攻击范围无限，且使用与弃置的牌花色相同的【杀】无次数限制。若你以此法弃置的牌为装备牌，你可以弃置一名其他角色的一张牌。										
鸠	60 	郑玄	无舆跋冕	3	俸学：当你使用牌时，你可观看牌堆顶的牌并选择一项：将之置于牌堆底，或获得此牌且此技能本回合失效。	注经：你失去装备牌后，可以选择手牌中的一张基本牌或普通锦囊牌，选择一个应变条件并指定应变效果：额外结算一次，然后为此牌附加之。									"【俸学】选自郑玄早期求学的经历，画面表现为郑玄边用牌边看牌，力求找到需要的牌以精益求精的表现，回合外也有一定防御能力。
【注经】直接表现为郑玄为牌批注应变效果，“额外结算一次”的意思是“再阐述”，其实也就是“注经”的本质。郑玄在逃亡路上颠沛流离亦有所得，勤加批注。注意，这些牌进入牌堆后应变效果不会消失。"	
苏末东	61 	王平	无字善将	4	良劝：限定技，其他角色出牌阶段，该角色使用牌指定目标时，你可令其选择一项，①防止此牌造成的伤害并翻面且该角色的手牌不计入其本回合的手牌上限；②令此牌所造成的伤害+1，若被指定的目标角色未因此进入濒死状态或死亡，则其各弃置所有牌并受到该角色所造成的一点伤害。	善学：锁定技，你的锦囊牌牌名你均无法见，当你使用本回合未使用过的锦囊牌时，你摸x张牌（x为你本回合使用过锦囊牌的次数）。									一技能，取自街亭之战，二技能取自王平不识字却好学并令军士读诵典故学习。	
束内形成层	62 	王平	无字韬钤	4	樸拙：锁定技，你的锦囊牌均视为【无懈可击】。	飞军：出牌阶段，你可重铸任意张锦囊牌。结束阶段，如本回合有锦囊牌进入弃牌堆，你可视为使用一张具有以下x项效果的【杀】：1.无距离限制；2.无视目标防具；3.最多可指定x个目标。x为本回合进入弃牌堆的锦囊牌数。	无当：锁定技，当你使用【杀】指定目标或成为【杀】的目标后，重铸使用者的武器牌，如使用者计算与目标的距离不小于使用者的攻击范围，你摸一张牌。								"史书记载王平识字不超过十个，所以假定十个字是雷火杀闪桃酒无懈可击，在游戏中体现为锦囊牌强制变无懈。
飞军是对技能名的解构以及对一技能负面效果的承接。也在弥补无法使用常规锦囊带来的一些负面效果，补充了多次输出，跨距离输出，无视防具，多目标输出的能力。缺失的拆顺能力就要交给马谡弥补了。
无当则是对王平偏防御的战术偏好以及二技能的承接。通过二技能的多目标飞刀可以实现大量摸牌，而且由于发生在结束阶段所以不会弃置可以用作防御和下回合的输出。除此之外这个技能也可以用于防御，最常见的情况是防御距离为1的敌人。重铸武器牌的设定一方面是为了防止王平拿长刀卡手，而连弩杀伤力过强，另一方面则是防止敌人拿长刀避开三技能且王平无力弃置的尴尬局面。"	"Q：判定阶段的判定牌和无懈可击可以触发飞军吗
A：可以，还包括八卦判定牌，观虚弃置的牌等情况
Q：多目标的杀如何结算无当
A：每有一个符合条件的目标，王平便会摸一张牌"
妙啊	63 	王平	无字武猷	4	严阵：每轮各一次，一名角色弃牌阶段开始时，你可以摸两张牌令其本回合手牌上限+2；你可以弃两张牌，令其本回合手牌上限-2。	伏道：你可以使用或打出上回合进入弃牌堆的【闪】。其他角色回合结束时，你可以获得本回合进入弃牌堆的【杀】，然后依次对其使用，若如此做，你失去“伏道”直到你下回合开始。									王平统领无当飞军，长于山地作战，利用地形伏兵。同时治军严整，街亭溃败王平部军容整齐张郃不敢侵犯，麾下士卒可以忍耐恶劣地形和作战情况。	"上回合进入弃牌堆的牌：
对本回合进入弃牌堆的牌的延伸，可以避免使用后又进入本回合弃牌堆的自我调用。"
鲲鲲	64 	王崇	悉询朋安	3	博谊：你使用有实体的牌指定目标时，可取消之，请向上取整的半数目标依次视为使用一张此牌牌名或牌面描述中提及完整牌名的牌。	牵旧：有角色使用过【酒】的某个回合结束时，你也可视为使用【酒】，摸并可使用一张牌，然后可请一名其他角色也如此做。	*请：令......选择是否								“【酒园结义】！”	
不如吃茶去	65 	郑玄	稀世大儒	3	"整经
出牌阶段限一次，你可以弃置任意张牌，然后摸三张牌。若你以此法失去了所有手牌，本回合你的手牌上限+1。"	"拾遗
回合内各限一次，你通过【整经】或弃牌阶段弃置牌时，若你弃置的牌：1.类型不同。你弃置一名角色区域内的一张牌后与其各摸一张牌；花色不同。你可以令一名角色摸三张牌，弃置两张牌。"									整理经典，我想到的就是对文章进行增加和删减，对应的就是摸弃，所以我以孙权为蓝本设计了这个武将。	A，你通过整经触发效果1。那么你在弃牌阶段，只能触发效果2。若整经两个都触发，你可以选择一项执行
十常侍	66 	郑玄	先师之列	4	注经：出牌阶段限一次，你可以展示一张手牌和牌堆顶一张牌，若这两张牌颜色不同，你弃置这两张牌；相同，你获得之并观看牌堆顶一张牌，然后你本回合【注经】改为“出牌阶段限两次”、“若这两张牌花色相同”。	郑学：出牌阶段，你可以将一张手牌置于一名其他角色武将牌上，其回合开始时，获得此牌并选择一项：1，本回合成为锦囊牌的目标时，与你各摸一张牌；2，本回合第一次失去牌时，摸等量的牌。然后你可以视为使用一张基本牌。										
菖蒲	67 	曹洪	献驹救主	4	白鹄：每回合限一次，一名角色受到伤害后，你可以摸一张牌令其余角色本回合计算与其的距离+1，然后其本回合下次受到伤害后，来源弃置你区域内的各一张牌。										"【白鹄】描绘荥阳兵败时曹洪救驾于危难的场景。白鹄是此战中曹洪献出的坐骑，有凭空虚跃，乘风而行之能。宛如一匹无形的+1马，拉开敌我距离。若曹洪护驾成功，则被封赏获得收益。若是被追兵赶上再次受伤，此时让出坐骑的曹洪也难免受到牵连。（“太祖失马，贼追甚急，洪下，以马授太祖”）（“凭空虚跃，曹家白鹄”）
【白鹄】在游戏中设计为每回合限一次，这一条件不仅有效减少了在多人受伤情况下的复杂询问和繁琐的距离计算，同时提供了一种博弈，与界张飞的【咆哮】出闪相似，玩家在运用【白鹄】时，需要审慎地判断后续造成伤害的可能性，尽量避免产生负收益。"	
风车转转转	68 	应玚	嚣风辇尘	3	悲和：每回合限一次，当一名其他角色于其回合外获得牌后，你可以令其选择一项：1.你与其翻面，然后各摸X张牌；2.你与其各回复1点体力，然后各弃置X张牌（X为其体力值且至多为5）。	剩才：当你受到伤害后，你可以弃置一名角色的一张手牌，若其手牌数等于体力值、已损失体力值或游戏轮数，你可以翻面并令其重复此流程。									可配合大魏卖血将，同时与曹植、曹丕等翻面将有一定的联动，【剩才】满足条件可反复触发。	
菖蒲	69 	张温	信函失密	4	密函：出牌阶段限一次，你可以摸三张牌并交给一名其他角色一至三张手牌，然后你令一名体力值最大的其他角色猜测一种类型并展示你给出的牌，若包含/不含此类型，其对你/你对其造成1点伤害。										"【密函】代表那封原本应隐秘传递的密信，记录着张温与袁术之间的谋划，却不料被董卓截获，张温因此招来杀身之祸。董卓于长安宴请百官时，截获了袁术与张温私通书信后，立刻下令，让吕布将张温从宴席中猛然拖出斩首示众。体力最大的角色代表董卓的形象，猜测类型代表密文的拦截过程，极具画面感。若它未曾被董卓截获，或许张温还有机会暗中策划刺杀董卓的大计。一旦暴露，张温的处境将岌岌可危。（“卓心怨之，因天有变，欲以塞咎，使人言温与袁术交关，遂笞杀之”）（“卓笑曰：诸公勿惊。张温结连袁术，欲图害我”）
【密函】在游戏中兼具强命和辅助的能力。玩家需要规划发送密函的数量，交出的牌数越多，密函的辅助效果便愈发显著，然而这也同时意味着董卓的猜测更容易命中，这一博弈增加了面杀的趣味性。如果玩家能够审慎行事使用密函，便能出其不意地打击高体力的敌方角色。另外，无论是否猜中密函的内容，都会有一名角色受到伤害。这样的设计旨在防止技能场景仅仅局限于与友方的配合，从而减少通牌现象。即使玩家选择令友方猜测密函，也需要己方承担体力损失的代价。"	
VixiMazZ	70 	王平	行戎存义	4	"锁定技，轮次开始时，你将手牌中所有【杀】置入空装备栏；轮次结束时，你使用至少一张拥有对应效果的【杀】，然后调度剩余的【杀】。
武器：〖忠勇〗
坐骑：〖铁骑〗
防具：〖制蛮〗
宝物：〖烈刃〗"	锁定技，当你对一名其他角色首次使用【杀】时，你抉择：摸两张牌；立即调度一张【杀】。									"王平率领的军队是蜀汉的王牌部队飞军，飞军治军严整、各司其职，因此打算将相关效果以锁定技、装备栏的形式体现。
王平忠勇而严整，生长于戎旅，手不能书，所识不过十字，而口授作书，皆有意理，使人读史汉诸纪传，听之备知其大义，往往论说不失其指，遵履法度，言不戏谑。然性狭侵疑，为人自轻，以此为损焉。"	"“调度”即在装备区中移动其中的【杀】
〖忠勇〗参考周仓；
〖制蛮〗参考马谡；
〖铁骑〗参考马超；
〖烈刃〗参考祝融。"
殆君尽考场	71 	韦曜	性好博弈	3	方罫：锁定技，至少2名其他角色与一名角色距离为1时，其不能响应你使用的牌。	茶荈：当一名角色使用非虚拟【酒】时，你可将此牌置于你的武将牌上称为「茶」（「茶」的数量至多为5），然后令此牌无效，且其摸两张牌。每回合限一次：你的回合外，当你需要使用【酒】时，你可移去一张「茶」视为使用之；你的出牌阶段，你可移去一张「茶」，然后你摸两张牌。									棋子四口气，武将两口气。以「茶」代【酒】，七升酒五升「茶」。先别喝，我屯着有用，救命【酒】？不好意思，咱不是一队的	"Q：董卓发动〖酒池〗将一张黑桃牌作为酒使用，此时「茶」已有5张牌，还可以继续发动〖茶荈〗吗？
A：不可以
Q：赵统赵广发动〖翊赞〗将两张手牌当做酒使用，此时「茶」已有4张牌，还可以继续发动〖茶荈〗吗？如果可以，发动后「茶」中有几张牌？
A：可以；5张"
妖	72 	程普	雄傲凶杀	4	疠火：锁定技，当你使用【杀】指定目标时，进行一次判定，若结果为红桃，你对自己造成1点火焰伤害，且此【杀】额外指定你攻击范围内所有角色为目标。	醇醪：当一名角色回合内使用第二张基本牌或普通锦囊牌结算后，其可以令你视为使用此牌。当一名角色回合内首次使用牌指定自己为目标后，你可以取消之，改为你使用此牌，然后此技能本轮失效。									二技能的含义须带入技能名食用，前半段指你与我共饮，后半段指你给我敬酒，分别代表对周瑜的两种态度。在程普的语境下我认为没有必要写明【酒】，毕竟也不是真酒，不写明也更有其对待周瑜变扭的感觉。而酒在三国杀中正好对应加伤，和程普的另一个典故暗合，甚至能在回合外打出一个多指酒杀的壮举。	
殆君尽考场	73 	王崇	修撰国史	3	修史：每回合限一次，一名角色使用基本牌或普通锦囊牌时，你可记录此牌名，结束阶段，其视为对相同目标使用一张本回合你以此法记录过的牌（若相同目标均已死亡，则不使用）。	私撰：一名角色死亡时，你须摸一张牌置于你的武将牌上称为「撰」。每回合限一次，你可移去一张「撰」视为使用一张任意基本牌，且此牌不计入次数，若此牌造成了伤害，此伤害视为无来源伤害。									写史书的，有资料的时候就整合记录，后来啥都没了只能自己写，多少有点出入的。	"Q：出牌阶段，简雍因〖巧说〗对孙乾和糜竺使用【过河拆桥】，此时你发动〖修史〗记录此牌，结束阶段，简雍视为对谁使用【过河拆桥】？
A：孙乾和糜竺"
伊莎玛拉	74 	曹洪	虚己受人	4	审慎：锁定技，结束阶段，本回合内受到过伤害的其他角色依次获得一张【影】并扣置一张基本牌当做【杀】对你使用，此牌造成伤害时翻开，若牌名：不为【杀】，防止此伤害；为【影】，你可以视为使用一张【决斗】。	善纳：当你需要使用【闪】时，你可以令一名其他角色选择是否交给你一张【闪】或使用一张【杀】，当此【杀】造成伤害后，你选择一项：1.视为使用一张【闪】；2.令受伤角色展示所有手牌，然后弃置其中所有的【杀】。									"“审慎”与“善纳”均取于下辨之战，也同时都代表曹洪本身的性格“谨慎”与“听劝”。
“审慎”中“本回合受到过伤害的其他角色”意为与你处于敌对关系的人，代指张飞与马超。“获得【影】并扣置一张基本牌当做【杀】对你使用”代表下辨之战刘备派遣张飞与马超行驶疑兵之计，如果此【杀】不为真【杀】，但曹洪使用了【闪】，即代表张飞和马超的疑兵之计骗到了曹洪，如果此【杀】不为真【杀】，但曹洪没用【闪】，代表曹洪识破了疑兵之计，此【杀】便不会对曹洪造成伤害，但如果此【杀】为【影】，曹洪也没用【闪】，代表张飞和马超甚至连兵都不愿意派往，对曹洪不能造成任何影响，曹洪便长驱直入，即可以使用一张【决斗】。
“善纳”取于下辨之战中，曹洪对张飞与马超是否为疑兵之计思虑不抉，最后听从曹休的意见，“令一名其他角色选择是否交给你一张【闪】或使用一张【杀】”即代表曹洪询问曹休的意见，两个选项即代表曹休的两个意见，“交给你一张【闪】”代表曹休建议曹洪防守，“使用一张【杀】”即代表曹休建议曹洪进攻，且身先士卒，同时也可以触发曹休的技能“倾袭”，如果这张【杀】造成了伤害，那么曹洪便占据了主动，可以选择是否出【闪】进行防御或者扩大战果。"	
VixiMazZ	75 	王崇	学博雅粹	3	凝撰：出牌阶段每牌名限一次，你可从弃牌堆中挑选并获得一张伤害牌。你使用下一张牌后，若此牌未进入弃牌堆或造成的伤害数不小于X，你失去1点体力并销毁之（X为此牌名字数）。	思立：锁定技，当你成为伤害牌的目标时，若你因此牌受到过总计唯一最多伤害，无效之。									"王崇有不少著作。
常璩：“学业渊博，雅性洪粹。”
后安乐公淫乱无道，何攀与上庸太守王崇、涪陵太守张寅为书谏责，称“当思立言”。"	“销毁”≈移出游戏
楚谋	76 	王崇	学贯志坚	3	贞士：锁定技，当你于摸牌阶段外不因此技能得到牌后，你令一名角色摸一张牌；回合结束时，若你本回合已此法获得的手牌数大于你的体力值，你失去此技能。	厚德：其他角色的回合开始时，你可以令其交给你任意张手牌，然后你交给其至少X张牌，若你以此法失去的牌大于X，你与其各回复1点体力。(X为其交给你的牌)									"“贞士”的设计思路，主要是基于释义上的“志节坚定、操守方正之士”。于是设定上的初衷便是有人给你牌，你就可以给他牌。于此同时，你也可以选择贪下来给自己，但你一旦给自己的利益（牌）超过了你的德行（体力），那你就不配叫操守方正的人了（失去“贞士”）。

“厚德”则是一部分反向参考了标刘备，别人对我付出了，那我就要尽力回报他。这样有来有回时如果你滴水之恩涌泉相报，我们就都可以蓬勃发展（回血）。"	如果有什么填写问题请直接联系我
画师EMm	77 	曹洪	雪炭炎荫	4	狭援：一名角色的结束阶段，若该角色或你本回合减少过体力，你可以交给一名其他角色一张牌。若你本回合未失去过牌，你弃置当前回合角色一张牌。	驻命：每回合限X次（X为你当前体力值）当你不因使用或打出而失去牌后，你可以将手牌摸至体力上限，令当前回合角色/你视为对你/对一名其他角色使用一张【杀】。若你失去的牌为装备牌，你可以令一名角色摸一张牌。									"一技能表现曹洪在荥阳给马，援救cc的故事，但实际上并没有什么用（曹洪本人也没被追上）。弃牌效果对应曹洪放纵门下宾客作威作福，可能反噬队友或自身。
二技能表现曹洪对峙能力和吝啬的性格，失去牌可以理解为被攻打，然后展示曹洪的防守能力，回合内则代表统兵和进攻能力。也可以理解为被界曹丕真实，最后还要给曹丕赔礼道歉。
如果你不出牌，那么结束阶段必定能发动〖驻命〗"	
鱼竿	78 	王崇	雅性洪粹	3	均和：出牌阶段限一次，你可将一张非基本牌当做指定你攻击范围内任意角色的【五谷丰登】。因此亮出的牌本轮可当做仅指定你与使用者为目标的【五谷丰登】。	无遗：锁定技。轮次开始时，你从游戏外的其他拓展包中使用一张装备牌。这些牌离开你的区域后销毁。									"五子情好未必能终。惟崇独以宽和，无所彼此。王崇对其他人都好，而其他人互相疏远，只和王崇好。
王崇曾着《蜀书》。但早已遗失。好比其他拓展包的牌，存在过，但本局其他角色无法得到了。"	其他拓展包的装备牌不包括技能衍生牌，例如【元戎精械弩】【混毒弯匕】这些。而且销毁的装备牌不能再通过“无遗”使用。
堇	79 	王崇	雅性洪粹	3	辟俊:每轮开始时，你可以移除场上所有“情”，选择至多五名角色，你与这些角色各摸一张牌并将一张牌置于武将牌上，称为“情”。有“情”的角色视为拥有“疏陌”。	疏陌:锁定技，你使用伤害牌时，若有目标有“情”，你弃置两张牌且可以获得你的“情”。	同仁:锁定技，你不因“辟俊”失去“情”后，摸一张牌并将牌堆顶的牌置于武将牌上，称为“情”。								取材自王崇与5位好友入洛阳后，相互关系逐渐疏远，但王崇凭借宽厚和顺的性格与他们一视同仁	"移除场上所有情，即将它们置入弃牌堆
当王崇“辟俊”失效后，获得技能效果不失效"
菖蒲	80 	王崇	雅性洪粹	3	泯籍：其他角色回合开始时，你可以摸两张牌，本回合结束时若你手牌数未再次变化过，你弃两张牌且本轮本技能失效。	宽和：准备阶段，你可以将两张牌当指定至多五名目标的【五谷丰登】使用，然后除你外的目标角色下个准备阶段可以将两张牌当【五谷丰登】对你和其使用。									"【泯籍】讲述王崇编著的《蜀书》没有流传下来的故事。王崇作为蜀汉东观郎曾倾尽心撰写《蜀书》，这部著作与陈寿所著的《三国志》虽内容迥异，却未能流传至今，甚至陈寿在编纂时也未曾采纳其中的内容。通过摸牌模拟王崇编纂《蜀书》的历程，变化的手牌数意味着其和其作品在当时备受关注。若是无人问津，这部作品便被遗忘在角落，最终只能黯然进入弃牌堆，成果也随之付诸东流。（“著《蜀书》及诗、赋之属数十篇。其书与陈寿颇不同”）
【宽和】表现王崇以宽厚和顺的性格与五人交好。王崇与寿良、李密、陈寿、李骧、杜烈曾一同踏入京城洛阳，交情甚笃。岁月流逝，其他人彼此间的距离逐渐拉远，变得疏远陌生。王崇却始终保持着那份宽厚和顺的本性，对待五人始终如一，不分彼此。这五份深厚的情谊，在五谷丰登的交互机制中得到了生动展现，互有往来的摸牌方式映射出王崇与每个人投桃报李，过从甚密的画面。（“五子情好未必能终，惟崇独以宽和无所彼此”）
其一，【泯籍】在游戏中要求玩家精准地判断场况时机，预测当前回合手牌数的使用或弃置情况，从而确保技能的存续。其应对情况十分丰富，例如自身成为集火或AOE目标，或是手牌持有无懈或救助濒死队友的桃，以及配合队友的摸弃操作，都可以实现手牌数变化。即使没有上述特殊状况，【泯籍】也能发挥其威慑作用，让敌人不敢贸然进攻。
其二，【宽和】作为准备阶段的技能，要求手牌具备一定厚度，这一前提条件可以通过【泯籍】摸牌效果得以满足。反过来，【宽和】的后续效果为队友提供了补牌能力，进而为【泯籍】创造手牌数变化的条件。这两种机制可以相待而成，勾勒出一个惟妙惟肖的王崇形象。"	
孤豹	81 	王崇	雅性洪粹	3	渊学：当一名角色使用虚拟牌或转化牌时，你可以重铸任意张花色不同的牌，然后你可以展示以此法获得的牌，若花色均不同，你摸一张牌。	书纂：每轮限一次，一名角色准备阶段，你可以决定其本回合主要阶段的执行顺序。若如此做，本回合结束阶段，其可以视为使用一张无距离限制的【杀】。									1技能形容王崇学业渊博，用不同的花色来体现他的广博。2技能来源于他编纂《蜀书》，通过编纂一名角色的主要阶段的执行顺序来体现编纂书籍。因为王崇是给蜀汉编书，那自然要跟蜀国武将有配合：蜀国菜刀将多，摸不到杀是很多蜀国武将的通病，因此2技能可以让蜀国队友出杀；1技能的虚拟牌和转化牌可以配合界刘备、神刘备、各个版本关羽、神马超、各个版本赵云等等。	主要阶段：判定阶段、摸牌阶段、出牌阶段、弃牌阶段。
布林	82 	王崇	雅性洪粹	3	述实：每回合限一次，一名角色使用【杀】或普通锦囊牌指定目标后，你可以交给其一张牌（若当前回合角色是你，则跳过此步骤），令此牌额外结算一次。	宽和：每回合限一次，一名角色受到伤害时，若其本回合受到过同名牌造成的伤害，你可以防止之并与其各摸一张牌，然后令当前回合角色本回合手牌上限+1。									"王崇，蜀汉大臣，著有《蜀书》，因此设计一技能“述实”，可以让自己或队友的牌额外结算。
后王崇与寿良、李密、陈寿、李骧、杜烈共入京城洛阳，被时人称为俊杰，另外五人渐渐疏远，只有王崇凭借宽厚和顺的性格仍与五人交好。故设计二技能“宽和”，可以帮助自己和队友防止伤害、加手牌上限，同时利好多人，也能与一技能相配合。"	
小酒窝	83 	王崇	雅性洪粹	3	宽顺：每回合限一次，每当一名角色使用一张牌指定单独目标时，你可令其摸一张牌，然后交给你一张牌。	视同：转换技，每回合各限一次，阳，当一名角色获得牌时，则你可以令一名其他角色摸一张牌；阴，当一名角色失去牌时，则你可以弃置一名其他角色的牌。									"王崇，西晋时期人物官至上庸、蜀郡太守，《蜀书》的作者。
体力值3对应他文官的身份，势力为蜀；
称号“雅性洪粹”取自于《华阳国志》的作家、东晋史学家常璩对他的评价；
一技能【宽顺】，技能名取自他的性格宽厚和顺，即使其他朋友相互渐渐都疏远了，但王崇依旧不分彼此，所以设计了当他们使用牌指定单独目标时，王崇可以让他摸一张再给王崇一张牌的设计；
二技能【同视】，技能原意是王崇对待5个朋友属于一视同仁，且与一技能【宽顺】有联动，提高队友的过牌能力，通过转化技的使用，一回合能辅助队友尽快的拉开牌差；总结：王崇作为一个文学家、史学家，也参与过蜀汉末期与东晋的政治环境，但因其和三国时代接触的时间，个人不敢设定的太强，但技能收益还是很可观的，缺点也很明显3体力容易被秒。"	"F：【宽顺】与【同视】的结算问题。
Q：1、【宽顺】给他人摸牌时，会触发【同视】让另一个人也摸牌，然后由“阳”切换为“阴”，然后他人交给你一张牌即触发【同视】的“阴”效果。
2、摸牌阶段获得两张牌会触发【同视】的“阳”效果；出牌阶段使用牌或弃牌阶段弃牌会触发【同视】的“阴”效果（注：使用顺手牵羊，可以触发“阳”效果，而被顺手的角色，也会触发“阴”效果），两个效果每回合各能发动一次。
（以上纯属脑测，如有卡时点不能发动的情况，就按正常规则发动）"
